rego,fleet,fleet_subtype
VHXWM,100,100
VNA886,350,359
B18002,777,77W
BLBJ,330,333
HL8284,777,77L
N373HA,330,332
N534AE,CR7,CR7
N733AR,777,77W
N758AN,777,772
N801NN,737,738
N809AE,ERD,ERD
BLAF,330,333
C422,DH8,DH4
C447,DH8,DH4
CCBDB,767,763
CFIVQ,777,77L
N4032T,319,319
N830AW,319,319
N837AW,319,319
VHVGQ,320,320
BLRV,350,359
CCBEF,321,321
JA830J,787,789
N689EC,ERJ,ER4
N907NN,737,738
N926AN,737,738
N963UW,E90,E90
N987AM,321,321
N994NN,737,738
VHQOW,DH8,DH4
VHUQA,100,100
VHVQL,320,320
VHVYL,737,73H
VHXZL,737,73H
ZKNZG,787,789
B5936,330,332
N916AN,737,738
N935NN,737,738
RPC9918,320,320
VHVFO,320,320
YJAV1,737,73H
A6ETL,380,388
B5930,330,332
B5933,330,332
BKPX,777,77W
BLRD,350,359
CCCXD,767,763
HL7756,777,77L
N110AN,32S,32B
N270AY,330,333
N381AN,767,763
N439YX,EMJ,E75
N732SK,CR7,CR7
N754UW,319,319
N822AW,319,319
N982VJ,321,321
VHOEJ,747,744
C243,737,73W
CCBBA,787,788
CFRSA,787,789
N171US,321,321
N262NN,EMJ,E75
N712US,319,319
N760SK,CR7,CR7
N881NN,737,738
N9021H,319,319
VHVWX,321,321
A6EGP,777,77W
B18917,350,359
BLJF,747,744
CCCWV,767,763
N552UW,321,321
N594SW,CRJ,CRJ
N741EV,CR7,CR7
N841AE,ERD,ERD
N914UY,321,321
VNA867,787,788
ZSSXD,340,343
A6EDS,380,388
A6EQN,777,77W
BKPI,777,77W
BKPL,777,77W
BLJG,747,744
CCBGB,787,789
N277NN,EMJ,E75
N391AA,757,757
N669MB,ERJ,ER4
N752US,319,319
N932AE,ERJ,ER4
VHXZA,737,73H
A6EPE,777,77W
A6EUR,380,388
C239,737,73W
C439,DH8,DH4
N679AN,757,757
VHEBQ,330,332
VHOQD,380,388
VHTQY,DH8,DH3
ZKOKN,777,772
B5925,330,332
BKPS,777,77W
C827,737,73H
N152UW,321,321
N501AA,M80,M80
N928NN,737,738
N982NN,737,738
VNA869,787,788
A6ECT,777,77W
B18910,350,359
N464SW,CRJ,CRJ
N812NN,737,738
N955UW,E90,E90
VHVXG,737,73H
A6EUF,380,388
N427YX,EMJ,E75
BKPA,777,77W
BLAZ,330,333
CCBAF,32S,320
N107NN,32S,32B
N207UW,321,321
N293AY,330,332
N421YX,EMJ,E75
N904EV,CRJ,CRJ
VHEBG,330,332
VHQOI,DH8,DH4
BKPU,777,77W
N409YX,EMJ,E75
N516AE,CR7,CR7
N825AE,ERD,ERD
N977NN,737,738
A6ENA,777,77W
C221,737,73W
C437,DH8,DH4
CFNND,777,77L
JA733J,777,772
N531EG,CR7,CR7
N740EV,CR7,CR7
VHNHQ,100,100
VHSBT,DH8,DH3
VHVKD,787,788
B6057,330,332
C673,767,76W
N191UW,321,321
N492MC,74F,74Y
N507AY,321,321
N513AA,M80,M80
N726AN,777,77W
N801AW,319,319
N844NN,737,738
VHVZH,737,73H
C817,737,73H
N625AE,ERJ,ER4
N672AW,320,320
ZSSNA,340,346
B6113,330,332
C252,737,73W
CCCXH,767,763
CFIVX,777,77L
JA734J,777,77W
N117AN,32S,32B
N7528A,M80,M80
N840AE,ERD,ERD
N902EV,CRJ,CRJ
N981UY,321,321
N992AN,737,738
